Year,Male_Central,Female_Central,Male_Eastern,Female_Eastern
1963,1.952,3.470,1.834,3.263
1964,2.020,3.456,1.858,3.122
1965,2.115,3.446,1.752,2.947
1966,2.094,3.325,1.617,2.559
1967,1.939,3.059,1.645,2.474
1968,1.918,3.001,1.572,2.298
1969,1.496,2.416,1.564,2.436
1970,1.410,2.584,1.563,2.616
1971,1.556,3.110,1.609,2.784
1972,1.908,3.525,1.568,2.773
1973,2.033,3.975,1.591,3.046
1974,2.410,4.270,1.667,3.284
1975,2.510,4.174,1.684,3.366
1976,2.303,4.041,1.721,3.159
1977,2.472,4.423,1.723,3.099
1978,2.687,4.556,1.587,2.980
1979,2.715,4.268,1.586,2.901
1980,2.588,4.012,1.540,2.755
1981,2.413,3.703,1.581,2.515
1982,2.100,3.313,1.386,2.538
1983,1.840,3.027,1.409,2.440
1984,1.961,2.993,1.360,2.387
1985,1.923,3.146,1.315,2.348
1986,2.050,3.598,1.327,2.337
1987,2.157,3.705,1.300,2.429
1988,2.078,3.549,1.272,2.409
1989,1.984,3.208,1.304,2.285
1990,1.906,3.116,1.272,2.111
1991,1.983,2.927,1.243,1.965
1992,1.816,2.886,1.070,2.003
1993,1.658,2.790,1.025,1.940
1994,1.616,2.723,0.981,1.943
1995,1.478,2.661,0.975,1.931
1996,1.453,2.296,0.992,1.844
1997,1.300,2.222,0.977,1.742
1998,1.299,2.224,0.987,1.726
1999,1.274,2.153,0.973,1.642
2000,1.268,1.974,0.971,1.583
2001,1.160,1.947,0.890,1.590
2002,1.194,1.882,0.880,1.553
2003,1.094,1.991,0.849,1.587
2004,1.043,1.969,0.891,1.568
2005,1.135,2.130,0.900,1.579
2006,1.146,2.072,0.854,1.582
2007,1.230,2.245,0.798,1.615
2008,1.106,2.074,0.833,1.597
2009,1.008,1.930,0.855,1.604
2010,1.112,2.105,0.847,1.611
2011,1.084,2.134,0.838,1.608
2012,1.109,2.021,0.894,1.598
2013,0.994,1.729,0.889,1.626
2014,0.904,1.600,0.864,1.648
2015,0.838,1.457,0.858,1.657
