Year,Loc,AF_H,AM_H,AU_H,IF_H,IM_H,IU_H,UF_H,UM_H,UU_H,Total_H,Var_H,AF_w,AM_w,AU_w,IF_w,IM_w,IU_w,UF_w,UM_w,UU_w,Total_w
1969,US,68050,94920,1260,850,570,207170,0,0,24070,396890,NA,609,857,10,7,4,2038,0,0,197,3722
1970,US,65040,91800,570,100,0,227900,0,0,31890,417300,NA,591,817,7,1,0,2132,0,0,205,3753
1971,US,62650,91450,410,0,210,216760,0,0,17990,389470,NA,476,648,1,0,2,1601,0,0,132,2860
1972,US,67730,84510,1070,105010,77980,400,690,1700,16540,355630,NA,557,747,7,878,696,5,9,15,104,3018
1973,US,63770,72560,0,107520,113240,1970,340,1290,13610,374300,NA,507,616,0,960,1051,9,3,6,100,3252
1974,US,60520,76060,490,123100,112160,1270,0,570,14650,388820,NA,482,652,4,999,894,9,0,5,121,3166
1975,US,49610,78630,50,112740,104780,200,1210,1770,8010,357000,NA,439,728,1,1008,944,2,10,18,75,3225
1976,US,82030,94130,0,130090,98710,640,1160,3060,16350,426170,NA,576,685,0,957,725,3,8,18,115,3087
1977,US,42360,58540,120,87780,78920,0,470,1260,4650,274100,NA,345,498,1,796,683,0,5,10,31,2369
1978,US,57010,69970,0,115980,82940,680,860,980,8610,337030,NA,397,510,0,852,604,2,6,7,48,2426
1979,US,45090,69500,90,98460,77170,150,550,1840,6480,299330,NA,417,598,1,857,677,1,4,18,64,2637
1980,US,69180,91590,70,131660,96130,380,600,1060,6160,396830,NA,624,829,1,1221,915,3,7,13,55,3668
1981,US,44260,65770,100,85100,87430,0,250,280,6920,290110,NA,354,544,1,722,736,0,2,3,47,2409
1982,US,32170,54380,0,82230,60240,110,660,640,5270,235700,NA,324,493,0,781,627,1,6,8,53,2293
1983,US,32470,45210,0,61940,53560,110,490,410,4520,198710,NA,378,540,0,758,635,1,6,6,42,2366
1984,US,22830,42640,0,72990,59450,480,230,360,2860,201840,NA,260,466,0,838,691,1,4,6,36,2302
1985,US,29570,39710,0,65950,49090,520,0,40,5170,190050,NA,335,472,0,747,603,3,0,1,56,2217
1986,US,36220,48220,710,48540,39350,390,330,190,4310,178260,NA,340,446,1,473,377,2,2,3,38,1682
1987,US,32830,40480,0,49470,44590,50,0,140,4790,172350,NA,331,411,0,540,502,1,0,1,50,1836
1988,US,27190,32550,80,49840,40490,0,260,110,3710,154230,NA,349,443,1,657,535,0,5,1,39,2030
1969,Can,16189,14937,2837,2754,3755,181663,83,334,3004,225556,149991018,194,179,34,33,45,2177,1,4,36,2703
1970,Can,18240,16197,3179,1665,1589,192166,0,0,12867,245903,191604394,241,214,42,22,21,2539,0,0,170,3249
1971,Can,21435,22474,1258,64798,75024,52549,273,547,9405,247764,175542941,392,411,23,1185,1372,961,5,10,172,4531
1972,Can,28020,32361,263,113528,115501,2368,263,526,2565,295397,100452946,426,492,4,1726,1756,36,4,8,39,4491
1973,Can,20942,20583,60,106206,117814,2573,60,180,2034,270451,106028787,350,344,1,1775,1969,43,1,3,34,4520
1974,Can,23090,25806,377,106997,122465,2566,377,528,3924,286130,113282177,306,342,5,1418,1623,34,5,7,52,3792
1975,Can,14259,17300,210,95726,98032,1153,105,315,79999,307098,55349178,136,165,2,913,935,11,1,3,763,2929
1976,Can,16964,23616,111,113537,132385,1331,0,665,61536,350145,66068129,153,213,1,1024,1194,12,0,6,555,3158
1977,Can,15355,18701,98,104236,117917,1575,197,197,97444,355721,NA,156,190,1,1059,1198,16,2,2,990,3614
1978,Can,21643,25182,607,132991,118327,3439,910,809,76255,380162,52198641,214,249,6,1315,1170,34,9,8,754,3759
1979,Can,16648,17693,1367,115166,109939,8042,2332,1448,46404,319040,65217314,207,220,17,1432,1367,100,29,18,577,3967
1980,Can,22968,24159,340,105993,135936,3658,170,425,68053,361702,62774561,270,284,4,1246,1598,43,2,5,800,4252
1981,Can,16862,20746,265,90753,95520,2295,1324,795,93049,321609,64851708,191,235,3,1028,1082,26,15,9,1054,3643
1982,Can,22230,19926,691,93871,95253,2649,1613,1152,99399,336783,80870646,193,173,6,815,827,23,14,10,863,2924
1983,Can,21278,23284,1482,121564,122349,12383,1134,1046,4360,308880,91599514,244,267,17,1394,1403,142,13,12,50,3542
1984,Can,25803,24477,530,127246,117261,7511,353,530,2032,305744,124282372,292,277,6,1440,1327,85,4,6,23,3460
1985,Can,20284,22704,186,131942,118078,2884,744,0,2512,299335,99510081,218,244,2,1418,1269,31,8,0,27,3217
1986,Can,28625,32906,504,111644,114918,3106,84,839,2938,295563,3929159781,341,392,6,1330,1369,37,1,10,35,3521
1987,Can,23417,28038,1470,117191,119186,3045,525,735,1785,295392,610576587,223,267,14,1116,1135,29,5,7,17,2813
1988,Can,31088,27470,678,113611,121637,3391,113,113,2035,300137,1389331610,275,243,6,1005,1076,30,1,1,18,2655
